"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","20.33","818024126.03","40237291","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","76.6","872382309.8","11388803","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ACCL","Accelrys, Inc.","9.65","535577094.05","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ACIW","ACI Worldwide, Inc.","55.99","2214064024.81","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACTS","Actions Semiconductor Co., Ltd.","2.48","105100790.48","42379351","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ATVI","Activision Blizzard, Inc","17.59","12230181794.55","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"BIRT","Actuate Corporation","7.88","377762007.08","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
"ACXM","Acxiom Corporation","32.47","2404734499.18","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADEP","Adept Technology, Inc.","9.77","106940192.44","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","52.63","26309069914.75","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADVS","Advent Software, Inc.","32.87","1717658993.1","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"AGYS","Agilysys, Inc.","12.18","273321477.66","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AMCN","AirMedia Group Inc","2.23","96524990.27","43284749","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","14","137623836","9830274","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AFOP","Alliance Fiber Optic Products, Inc.","20.86","378048616.96","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"ALLT","Allot Communications Ltd.","13.47","439315388.79","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","14.95","2662045034.35","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AOSL","Alpha and Omega Semiconductor Limited","7.94","204042183.52","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ALTR","Altera Corporation","37.48","11973817906.08","n/a","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"AMBA","Ambarella, Inc.","21.63","596077268.85","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"AMSWA","American Software, Inc.","9.21","252521962.77","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMKR","Amkor Technology, Inc.","4.68","1019568143.88","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"ASYS","Amtech Systems, Inc.","8.27","78889465.18","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"ANAD","ANADIGICS, Inc.","2.1","175186701.9","n/a","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","47.66","14807615702.44","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ANEN","Anaren, Inc.","25.68","342164480.16","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/anen",
"ANSS","ANSYS, Inc.","86.38","7984689488.3","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATNY","API Technologies Corp.","3.1","170023018.5","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"AAPL","Apple Inc.","508.89","462325038330","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","18.05","21711018090.35","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","14.14","1033797430.12","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"AAOI","Applied Optoelectronics, Inc.","11.01","138773717.34","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"ARMH","ARM Holdings plc","49.62","6025323354.6","121429330","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ARRS","ARRIS Group, Inc.","16.705","2307937692.385","n/a","1993","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs",
"ARUN","Aruba Networks, Inc.","18.75","2162260818.75","n/a","2007","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/arun",
"ASTI","Ascent Solar Technologies, Inc.","0.97","52511541.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"ASIA","AsiaInfo-Linkage, Inc.","11.665","850105165.72","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/asia",
"ASMI","ASM International N.V.","34.3565","150871278.849","4391346","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","92.842","9537682149.026","102730253","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
